country_code,year,Country,Time,gdp_per_capita,primary_education,secondary_education,tertiary_education,adolescent_fertility
TMN,YR2023,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2023,2868.88626501212,,,,40.7943596165308
TMN,YR2022,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,3010.19656726913,,,,41.5499726411314
TMN,YR2021,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2021,2746.96809945183,,,,42.306292528334
TMN,YR2020,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2020,2402.73480964452,,,,43.4816076609523
MNA,YR2024,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2024,2971.05462651558,,,,39.7522636273702
MNA,YR2023,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2023,2873.03929302735,,,,40.7570386765176
MNA,YR2022,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2022,3015.7557973385,,,,41.5130102647407
MNA,YR2021,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2021,2753.47858029524,,,,42.272010625249
MNA,YR2020,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2020,2408.49731335268,,,,43.4464096915366
MEA,YR2024,"Middle East, North Africa, Afghanistan & Pakistan",2024,6265.44445247452,94.6325531005859,65.7879486083984,29.6833095550537,37.8294823182271
MEA,YR2023,"Middle East, North Africa, Afghanistan & Pakistan",2023,6149.061198935,93.5525512695312,64.1539916992188,28.7123298645019,38.8081255222051
MEA,YR2022,"Middle East, North Africa, Afghanistan & Pakistan",2022,6430.53553485753,91.5154037475586,62.4220314025879,28.0563106536865,39.5480296443348
MEA,YR2021,"Middle East, North Africa, Afghanistan & Pakistan",2021,5615.91186098726,92.2614364624023,61.3739013671875,28.3076190948486,40.323924953706
MEA,YR2020,"Middle East, North Africa, Afghanistan & Pakistan",2020,4742.76402632259,92.2091598510742,60.7267608642578,28.3051891326904,41.4411651898368
LMC,YR2024,Lower middle income,2024,2544.49245457752,105.352798461914,67.9754104614258,27.4404697418213,41.1781423283396
LMC,YR2023,Lower middle income,2023,2493.38985253651,102.509628295898,68.3673324584961,26.7934799194336,41.9969432183983
